Tax Year,Municipality,Number of Returns,CT Income Tax,Tax Per Capita
2014,WINCHESTER,5090,9746031.00,1915.00
2014,WINDHAM,9263,11762173.00,1270.00
2014,WINDSOR,14438,37828594.00,2620.00
2014,WINDSOR LOCKS,6349,13005291.00,2048.00
2014,WOLCOTT,7564,21601209.00,2856.00
2014,WOODBRIDGE,4113,55433572.00,13478.00
2014,WOODBURY,4528,21289880.00,4702.00
2013,MONROE,8564,40319662.00,4708.00
2013,WOODSTOCK,3514,9069052.00,2581.00
2013,WOODBURY,4489,20127265.00,4484.00
2013,WOODBRIDGE,4055,44255292.00,10914.00
2013,WOLCOTT,7446,20625005.00,2770.00
2013,WINDSOR LOCKS,6254,12438011.00,1989.00
2013,WINDSOR,14292,36867688.00,2580.00
2013,WINDHAM,9169,10999384.00,1200.00
2013,WINCHESTER,5004,9315477.00,1862.00
2013,WILTON,7272,90087767.00,12388.00
2013,WILLINGTON,2597,7232020.00,2785.00
2013,WETHERSFIELD,12873,41186054.00,3199.00
2013,WESTPORT,11403,179945528.00,15781.00
2013,WESTON,3893,60544120.00,15552.00
2013,WEST HAVEN ,23766,37495748.00,1578.00
2013,WEST HARTFORD ,27995,156495123.00,5590.00
2013,WESTBROOK ,3145,10878195.00,3459.00
2013,WATERTOWN,10194,29268372.00,2871.00
2013,WATERFORD,9303,28417588.00,3055.00
